"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","userCanTransferWithValidDataTest()","","2026-08-14","skipped","2026-08-14","","iteration_2.ui.AccountsTransferTest","iteration_2.ui.AccountsTransferTest","userCanTransferWithValidDataTest"
"","14038","userCannotSearchTransactionWithInvalidName()","","2026-08-14","passed","2026-08-14","","iteration_2.ui.AccountsTransferTest","iteration_2.ui.AccountsTransferTest","userCannotSearchTransactionWithInvalidName"
"","0","userCanUpdateNameWithValidDataTest(String)","","2026-08-14","skipped","2026-08-14","","iteration_2.api.UpdateNameUserTest","iteration_2.api.UpdateNameUserTest","userCanUpdateNameWithValidDataTest"
"","4238","adminCanGenerateAuthTokenTest()","","2026-08-14","passed","2026-08-14","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","0","userCanRepeatTransfer()","","2026-08-14","skipped","2026-08-14","","iteration_2.ui.AccountsTransferTest","iteration_2.ui.AccountsTransferTest","userCanRepeatTransfer"
"","7689","adminCannotDepositToUserAccountTest()","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsDepositTest","iteration_2.api.AccountsDepositTest","adminCannotDepositToUserAccountTest"
"","8666","unauthorizedUserCannotTransferBetweenOwnAccountsTest()","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","unauthorizedUserCannotTransferBetweenOwnAccountsTest"
"","2356","userCannotTransferBetweenTheirAccountWithInvalidDataTest(Double, String) [1] amount=-1.0, errorValue=Invalid transfer: insufficient funds or invalid accounts","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferBetweenTheirAccountWithInvalidDataTest"
"","5401","userCannotUpdateNameWithInValidDataTest(String, String) [1] name=, errorValue=Name must contain two words with letters only","","2026-08-14","passed","2026-08-14","","iteration_2.api.UpdateNameUserTest","iteration_2.api.UpdateNameUserTest","userCannotUpdateNameWithInValidDataTest"
"","2326","unauthorizedUserCannotDepositFundsToAccountTest()","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsDepositTest","iteration_2.api.AccountsDepositTest","unauthorizedUserCannotDepositFundsToAccountTest"
"","0","userCanSearchTransactionWithValidName()","","2026-08-14","skipped","2026-08-14","","iteration_2.ui.AccountsTransferTest","iteration_2.ui.AccountsTransferTest","userCanSearchTransactionWithValidName"
"","945","adminCanNotCreateUserWithInvalidDataTest(String, String, String, List) [3] username=abc$, password=Password33$, role=USER, errors=[Username must contain only letters, digits, dashes, underscores, and dots]","","2026-08-14","passed","2026-08-14","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","10598","userCannotDepositWithInvalidData()","","2026-08-14","passed","2026-08-14","","iteration_2.ui.AccountsDepositTest","iteration_2.ui.AccountsDepositTest","userCannotDepositWithInvalidData"
"","7176","userCannotDepositWithoutSelectedAccountTest()","","2026-08-14","passed","2026-08-14","","iteration_2.ui.AccountsDepositTest","iteration_2.ui.AccountsDepositTest","userCannotDepositWithoutSelectedAccountTest"
"","2663","userCanDepositWithValidDataTest(Double) [3] amount=5000.0","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsDepositTest","iteration_2.api.AccountsDepositTest","userCanDepositWithValidDataTest"
"","3326","userCannotDepositWithInvalidAmountTest(Double, String) [2] amount=0.0, errorValue=Invalid account or amount","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsDepositTest","iteration_2.api.AccountsDepositTest","userCannotDepositWithInvalidAmountTest"
"","1288","adminCanNotCreateUserWithInvalidDataTest(String, String, String, List) [2] username=ab, password=Password33$, role=USER, errors=[Username must be between 3 and 15 characters]","","2026-08-14","passed","2026-08-14","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","12645","userCanLoginWithCorrectDataTest()","","2026-08-14","passed","2026-08-14","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","4311","userCannotUpdateNameWithInValidDataTest(String, String) [2] name=   , errorValue=Name must contain two words with letters only","","2026-08-14","passed","2026-08-14","","iteration_2.api.UpdateNameUserTest","iteration_2.api.UpdateNameUserTest","userCannotUpdateNameWithInValidDataTest"
"","14858","userCanTransferToExternalAccountWithValidDataTest(Double) [3] amount=10000.0","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCanTransferToExternalAccountWithValidDataTest"
"","7107","userCanTransferToExternalAccountWithValidDataTest(Double) [2] amount=9999.99","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCanTransferToExternalAccountWithValidDataTest"
"","5618","userCannotTransferBetweenTheirAccountWithInvalidDataTest(Double, String) [2] amount=0.0, errorValue=Invalid transfer: insufficient funds or invalid accounts","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferBetweenTheirAccountWithInvalidDataTest"
"","12222","userCannotUpdateNameWithInvalidDataTest()","","2026-08-14","passed","2026-08-14","","iteration_2.ui.UpdateNameUserTest","iteration_2.ui.UpdateNameUserTest","userCannotUpdateNameWithInvalidDataTest"
"","8209","adminCanNotCreateUserWithInvalidDataTest(String, String, String, List) [4] username=abc%, password=Password33$, role=USER, errors=[Username must contain only letters, digits, dashes, underscores, and dots]","","2026-08-14","passed","2026-08-14","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","3064","userCannotUpdateNameWithInValidDataTest(String, String) [3] name=cOowhxnCnU, errorValue=Name must contain two words with letters only","","2026-08-14","passed","2026-08-14","","iteration_2.api.UpdateNameUserTest","iteration_2.api.UpdateNameUserTest","userCannotUpdateNameWithInValidDataTest"
"","7061","unauthorizedUserCannotUpdateNameTest()","","2026-08-14","passed","2026-08-14","","iteration_2.api.UpdateNameUserTest","iteration_2.api.UpdateNameUserTest","unauthorizedUserCannotUpdateNameTest"
"","7115","userCannotTransferToExternalAccountWithInvalidDataTest(Double, String) [1] amount=-1.0, errorValue=Invalid transfer: insufficient funds or invalid accounts","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferToExternalAccountWithInvalidDataTest"
"","3072","userCannotTransferBetweenTheirAccountWithInvalidDataTest(Double, String) [3] amount=10000.01, errorValue=Transfer amount cannot exceed 10000","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferBetweenTheirAccountWithInvalidDataTest"
"","6435","adminCannotTransferBetweenUserAccountsTest()","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","adminCannotTransferBetweenUserAccountsTest"
"","4759","userCannotDepositWithInvalidAmountTest(Double, String) [1] amount=-1.0, errorValue=Invalid account or amount","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsDepositTest","iteration_2.api.AccountsDepositTest","userCannotDepositWithInvalidAmountTest"
"","14969","userCannotTransferFromNonExistentAccountTest()","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferFromNonExistentAccountTest"
"","8010","userCannotTransferToExternalAccountWithInvalidDataTest(Double, String) [3] amount=10000.01, errorValue=Transfer amount cannot exceed 10000","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferToExternalAccountWithInvalidDataTest"
"","0","userCannotTransferWithInvalidDataTest()","","2026-08-14","skipped","2026-08-14","","iteration_2.ui.AccountsTransferTest","iteration_2.ui.AccountsTransferTest","userCannotTransferWithInvalidDataTest"
"","753","adminCanNotCreateUserWithInvalidDataTest(String, String, String, List) [1] username= , password=Password33$, role=USER, errors=[Username cannot be blank, Username must be between 3 and 15 characters, Username must contain only letters, digits, dashes, underscores, and dots]","","2026-08-14","passed","2026-08-14","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","6001","userCanTransferToExternalAccountWithValidDataTest(Double) [1] amount=0.01","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCanTransferToExternalAccountWithValidDataTest"
"","14688","userCanDepositWithValidData()","","2026-08-14","passed","2026-08-14","","iteration_2.ui.AccountsDepositTest","iteration_2.ui.AccountsDepositTest","userCanDepositWithValidData"
"","16697","userCanCreateAccountTest()","","2026-08-14","passed","2026-08-14","","iteration_1.ui.CreateAccountTest","iteration_1.ui.CreateAccountTest","userCanCreateAccountTest"
"","8500","adminCanCreateUserWithCorrectDataTest()","","2026-08-14","passed","2026-08-14","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","6812","userCannotTransferToExternalAccountWithInvalidDataTest(Double, String) [2] amount=0.0, errorValue=Invalid transfer: insufficient funds or invalid accounts","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferToExternalAccountWithInvalidDataTest"
"","3337","userCanGenerateAuthTokenTest()","","2026-08-14","passed","2026-08-14","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","10666","userCannotTransferAmountExceedingBalanceBetweenTheirAccountTest()","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferAmountExceedingBalanceBetweenTheirAccountTest"
"","11401","adminCanCrateUserTest()","","2026-08-14","passed","2026-08-14","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCanCrateUserTest"
"","4755","userCanTransferBetweenTheirAccountWithValidDataTest(Double) [3] amount=10000.0","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCanTransferBetweenTheirAccountWithValidDataTest"
"","11250","authorizedUserCannotDepositToNonExistentAccountTest()","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsDepositTest","iteration_2.api.AccountsDepositTest","authorizedUserCannotDepositToNonExistentAccountTest"
"","2779","userCannotDepositWithInvalidAmountTest(Double, String) [3] amount=5000.01, errorValue=Deposit amount exceeds the 5000 limit","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsDepositTest","iteration_2.api.AccountsDepositTest","userCannotDepositWithInvalidAmountTest"
"","5695","userCanDepositWithValidDataTest(Double) [1] amount=0.01","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsDepositTest","iteration_2.api.AccountsDepositTest","userCanDepositWithValidDataTest"
"","16132","userCannotTransferWithoutConfirmTest()","","2026-08-14","passed","2026-08-14","","iteration_2.ui.AccountsTransferTest","iteration_2.ui.AccountsTransferTest","userCannotTransferWithoutConfirmTest"
"","4698","userCanTransferBetweenTheirAccountWithValidDataTest(Double) [2] amount=9999.99","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCanTransferBetweenTheirAccountWithValidDataTest"
"","3035","userCanDepositWithValidDataTest(Double) [2] amount=4999.99","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsDepositTest","iteration_2.api.AccountsDepositTest","userCanDepositWithValidDataTest"
"","12082","userCannotTransferAmountExceedingBalanceToExternalAccountTest()","","2026-08-14","passed","2026-08-14","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferAmountExceedingBalanceToExternalAccountTest"
