"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4313","userCanTransferBetweenTheirAccountWithValidDataTest(Double) [1] amount=0.01","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCanTransferBetweenTheirAccountWithValidDataTest"
"","11555","userCanDepositWithValidData()","","2026-08-13","passed","2026-08-13","","iteration_2.ui.AccountsDepositTest","iteration_2.ui.AccountsDepositTest","userCanDepositWithValidData"
"","5452","adminCannotTransferFromUserAccountToAnotherUsersAccountTest()","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","adminCannotTransferFromUserAccountToAnotherUsersAccountTest"
"","4449","userCanTransferToExternalAccountWithValidDataTest(Double) [1] amount=0.01","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCanTransferToExternalAccountWithValidDataTest"
"","5218","adminCanLoginWithCorrectDataTest()","","2026-08-13","passed","2026-08-13","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","2976","userCanGenerateAuthTokenTest()","","2026-08-13","passed","2026-08-13","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","5888","userCanTransferBetweenTheirAccountWithValidDataTest(Double) [3] amount=10000.0","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCanTransferBetweenTheirAccountWithValidDataTest"
"","1327","adminCanNotCreateUserWithInvalidDataTest(String, String, String, List) [2] username=ab, password=Password33$, role=USER, errors=[Username must be between 3 and 15 characters]","","2026-08-13","passed","2026-08-13","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","11592","userCannotTransferAmountExceedingBalanceToExternalAccountTest()","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferAmountExceedingBalanceToExternalAccountTest"
"","8312","userCannotDepositWithoutSelectedAccountTest()","","2026-08-13","passed","2026-08-13","","iteration_2.ui.AccountsDepositTest","iteration_2.ui.AccountsDepositTest","userCannotDepositWithoutSelectedAccountTest"
